Country Name,Region Name,Main Grouping,Indicator - Topic,Indicator - Topic description,Indicator Name,Indicator - Unit,Scale,Indicator - Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa,Africa,Electricity,Supply,Electricity supply,Electricity export (GWh),GWh,,AFREC Database,,,,,,,,,,,16803.45,21803.12,24270.6,25001.66,28519.91,30992.79,31674.48,31130.06,29532.26,32188.65,34213.57,33159.79,31223.94,28595.75,32097.05,34162.91,36841.01,36632.11,37122.63
Africa,Africa,Electricity,Supply,Electricity supply,Electricity final consumption (GWh),GWh,,AFREC Database,,,,,,,,,,,357086.1,362262.7,389367.8,409940.1,429423.5,454979.9,476767.5,502587.9,498908.6,498661.4,536639.3,561892.4,573679.3,584589,600318,617307,627869,647715,669000
Africa,Africa,Electricity,Supply,Electricity supply,Electricity final consumption per capita (KWh),KWh per capita,,AFREC Database,,,,,,,,,,,437.4127,433.0308,454.1616,466.5392,476.7806,492.7511,503.6019,517.7045,501.0837,488.2354,512.0982,522.5012,519.7687,516.0515,516.3936,517.5553,513.2075,516.2796,520.1344
Africa,Africa,Electricity,Supply,Electricity supply,Electricity generated from biofuels and waste (GWh),GWh,,AFREC Database,,,,,,,,,,,1570,1606,1540,1635,1931,1895,1828,2189.439,1866,1991,2170.4,2156.857,1934.548,1694.918,1816,1896.501,1983.624,,
Africa,Africa,Electricity,Supply,Electricity supply,Electricity generated from fossil fuels (GWh),GWh,,AFREC Database,,,,,,,,,,,347981.7,360730.7,376749.1,381246.4,405298,434043.6,454669.9,477705.5,478093.5,502103.8,522791.8,569597.1,573306.6,590820.9,611026.4,624172.3,637618.6,,
Africa,Africa,Electricity,Supply,Electricity supply,Electricity generated from geothermal energy (GWh),GWh,,AFREC Database,,,,,,,,,,,434,481,369,682,920,891,886,1020,1192.87,1353,1477,1537.577,2649.758,2200.577,4418,4540.841,4632.191,,
Africa,Africa,Electricity,Supply,Electricity supply,Electricity generated from hydropower (GWh),GWh,,AFREC Database,,,,,,,,,,,76844.02,82845.73,86512.71,84818.71,90677.66,94288.8,96769.24,96369.63,98006.38,102346.8,111872.3,117009.9,116972.7,119252.2,126290.3,130639.7,135235.2,,
Africa,Africa,Electricity,Supply,Electricity supply,Electricity generated from nuclear power (GWh),GWh,,AFREC Database,,,,,,,,,,,13010,10719,11991,12663,13365,11293,10026,11317,13004,12806,12806,13465.87,14201.71,14106,13794,14346.93,14245.77,,
Africa,Africa,Electricity,Supply,Electricity supply,Electricity generated from renewable sources (GWh),GWh,,AFREC Database,,,,,,,,,,,79086.05,85394.77,89425.05,88315.35,94823.48,98563.3,101101.9,101508.2,103016.2,108093.9,118341.4,123718.7,124867,127911.6,139327.6,144109.3,149116.9,,
Africa,Africa,Electricity,Supply,Electricity supply,"Electricity generated from solar, wind, tide, wave and other sources (GWh)",GWh,,AFREC Database,,,,,,,,,,,238.0352,462.0352,1003.341,1179.641,1294.821,1488.504,1618.689,1929.101,1950.987,2403.068,2821.77,3014.448,3309.92,4763.985,6803.263,7032.241,7265.919,,
Africa,Africa,Electricity,Supply,Electricity supply,Electricity generation per capita (KWh),KWh per capita,,AFREC Database,,,,,,,,,,,538.9753,545.9935,557.6365,548.7072,570.0197,588.9608,597.5483,608.1996,596.6136,609.8901,623.9479,657.1492,645.3495,646.8405,657.243,656.0804,654.6191,659.8964,659.7198
Africa,Africa,Electricity,Supply,Electricity supply,"Electricity generation, Total (GWh)",GWh,,AFREC Database,,,,,,,,,,,439997.7,456764.5,478080.2,482139.7,513401.4,543814.8,565707.9,590440.7,594023.8,622913.7,653849.3,706691.7,712285.2,732748.6,764058.1,782530.7,800874.8,827894.1,848535.6
Africa,Africa,Electricity,Supply,Electricity supply,Electricity import (GWh),GWh,,AFREC Database,,,,,,,,,,,30658.43,16270.97,27364.1,27176.66,30518.19,32896.4,35320.58,35612.06,34160.94,37284.64,38154.65,37987.15,37819.6,37256.93,41308.75,51827.02,46399.04,43608.93,44979.7
Africa,Africa,Electricity,Technical,Electricity technical indicators,Electricity installed capacity in Bioenergy (MW),MW,,IRENA database,,,,,,,,,,,516.6,526.5,545.5,553.5,562.5,583.3,592.5,624.4,656.4,705.9,732.7,827,950.6,981.9,1059.7,1092.7,1092.7,,
Africa,Africa,Electricity,Technical,Electricity technical indicators,Electricity installed capacity in Geothermal (MW),MW,,IRENA database,,,,,,,,,,,65.3,65.3,65.3,65.3,135.3,135.3,135.3,135.3,135.3,170.3,205.3,205.3,213.1,213.1,370.7,605.4,683.3,,
Africa,Africa,Electricity,Technical,Electricity technical indicators,Electricity installed capacity in Hydropower (MW),MW,,IRENA database,,,,,,,,,,,21908.6,22075.9,22318.5,22358,23125.2,23414.5,23315.9,23491.5,23819,25133.3,26728.3,26737,27551,28656,28745.7,28848.7,32431,,
Africa,Africa,Electricity,Technical,Electricity technical indicators,Electricity installed capacity in Solar (MW),MW,,IRENA database,,,,,,,,,,,22.8,28.6,34.2,40,45.9,52.2,61.8,74.8,92.1,136.5,273.5,405.4,485.3,770.1,1606.4,2079.8,2972.6,,
